"census_tract","med_inc_estimate","med_age_estimate","perc_poverty_estimate","perc_owners","perc_ethnic","counts","residuals"
36005006700,17390,31.4,53,3.98298530549111,71.1819389110226,9,4.56024542201953
36005006800,29844,31.2,34.4,18.0815876515987,83.3935018050541,2,-2.00607419220315
36005006900,29627,32.4,38.3,4.77673935617861,71.5369485810621,5,0.809161831026957
36005007000,57905,35.9,29.4,32.5347758887172,76.4021711036443,4,0.488637107806787
36005007100,44792,34.6,17.6,38.9331210191083,67.7924791086351,1,-2.2494226332373
36005007200,63449,36.6,16.3,35.0696547546941,83.8568652849741,6,2.70457652102094
36005007300,28166,28.5,35,8.66449511400651,68.3168316831683,3,-1.19765400150024
36005007500,34484,33,32.7,18.6114596403179,65.6371814092954,6,2.16039670525275
36005007600,53784,36.2,16.4,21.8415417558887,72.5778038755138,7,3.51790144167173
36005007700,48846,29,22,24.0350877192982,66.2511542012927,3,-0.73770317977407
